time_ms,X,Y,Z
196221,-9.36,-0.12,0.31
196275,-9.33,-0.13,0.27
196327,-9.3,-0.13,0.3
196379,-9.37,-0.14,0.34
196431,-9.39,-0.09,0.23
196484,-9.33,-0.13,0.3
196537,-9.33,-0.09,0.21
196589,-9.41,-0.09,0.34
196641,-9.42,-0.09,0.32
196694,-9.39,-0.15,0.22
196747,-9.34,-0.13,0.28
196799,-9.42,-0.11,0.34
196851,-9.35,-0.12,0.28
196903,-9.36,-0.09,0.17
196956,-9.35,-0.11,0.21
197009,-9.35,-0.12,0.39
197061,-9.36,-0.14,0.26
197113,-9.31,-0.1,0.23
197166,-9.33,-0.16,0.27
197218,-9.35,-0.14,0.23
197271,-9.33,-0.14,0.2
197323,-9.38,-0.09,0.3
197376,-9.4,-0.11,0.3
197428,-9.31,-0.14,0.13
197481,-9.38,-0.09,0.34
197533,-9.31,-0.11,0.29
197585,-9.31,-0.09,0.37
197638,-9.34,-0.12,0.28
197690,-9.33,-0.19,0.22
197743,-9.32,-0.17,0.3
197795,-9.42,-0.11,0.22
197848,-9.4,-0.16,0.32
197900,-9.39,-0.1,0.3
197953,-9.31,-0.12,0.31
198005,-9.38,-0.11,0.3
198057,-9.29,-0.08,0.31
198110,-9.36,-0.11,0.34
198162,-9.37,-0.14,0.39
198215,-9.41,-0.15,0.36
198267,-9.37,-0.11,0.26
198320,-9.4,-0.1,0.38
198372,-9.37,-0.14,0.36
198425,-9.39,-0.13,0.41
198477,-9.4,-0.09,0.42
198530,-9.34,-0.13,0.32
198582,-9.36,-0.09,0.29
198634,-9.41,-0.1,0.34
198687,-9.37,-0.15,0.33
198739,-9.37,-0.12,0.33
198792,-9.41,-0.17,0.21
198844,-9.35,-0.12,0.24
198897,-9.32,-0.12,0.26
198949,-9.33,-0.08,0.4
199002,-9.35,-0.15,0.2
199054,-9.38,-0.14,0.32
199106,-9.4,-0.06,0.25
199159,-9.37,-0.11,0.22
199212,-9.36,-0.18,0.4
199264,-9.39,-0.17,0.23
199316,-9.34,-0.07,0.32
199368,-9.4,-0.12,0.33
199421,-9.44,-0.2,0.32
199474,-9.28,-0.1,0.32
199526,-9.33,-0.08,0.28
199578,-9.35,-0.13,0.34
199631,-9.37,-0.08,0.37
199684,-9.35,-0.11,0.38
199736,-9.38,-0.1,0.34
199788,-9.39,-0.12,0.31
199840,-9.35,-0.14,0.27
199894,-9.4,-0.12,0.25
199946,-9.41,-0.14,0.29
199998,-9.34,-0.16,0.21
200050,-9.39,-0.16,0.24
200103,-9.35,-0.1,0.19
200156,-9.42,-0.15,0.13
200208,-9.34,-0.07,0.26
200260,-9.3,-0.15,0.17
200312,-9.33,-0.1,0.29
200366,-9.37,-0.1,0.25
200418,-9.39,-0.1,0.33
200470,-9.31,-0.15,0.29
